POST ID	POST TEXT
756431540075106308	dlvr -  Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/hqlXcn08MX
756431541782196224	dlvr -  Five on Friday: Why you should watch Boo Junfeng’s prison film Apprentice https://t.co/6G4zrIJhen
756431543992655872	Apple to open first Apple Store in Taiwan https://t.co/OLy1RJl1at
756431546169434113	Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/Ylbc6nePVH
756431548061065216	Five on Friday: Why you should watch Boo Junfeng’s prison film Apprentice https://t.co/4iqAv4vPc9
756431864609574912	Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/UbvgJ6qRQT
756431987703853056	[CNA] Long queues at Michelin-starred hawker stalls: The owner of one of the stalls - Hong Kong Soya Sauce Ch... https://t.co/UoBrFC0LhX
756431988538482688	[CNA] Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analysts say tha... https://t.co/XNHYzNSYmo
756431998277648384	[News] Long queues at Michelin-starred hawker stalls https://t.co/cD3E9q40F9
756431999007469568	[News] Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts https://t.co/kd7mkAPypJ
756432014278930432	DTN Singapore: Long queues at Michelin-starred hawker stalls: The owner of one of the stalls - Hong Kong Soya... https://t.co/3YbKWqztu0
756432015004545024	DTN Singapore: Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analyst... https://t.co/aMNxujItDn
756432020360671233	DTN Singapore: Long queues at Michelin-starred hawker stalls: The owner of one of the stalls - Hong Kong Soya... https://t.co/Km1em2AVLS
756432021442797568	DTN Singapore: Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analyst... https://t.co/3LNQvkY03L
756432023028244480	NewsInSG: Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: A... https://t.co/rw3TYDAhQQ #Singapore
756432025247027200	Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analysts say that with... https://t.co/o1GB8KR9tZ
756432026908012544	Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analysts say that with... https://t.co/zTXHDcugbh
756432047267119104	Long queues at Michelin-starred hawker stalls https://t.co/AhUzzVcOqL
756432050031300608	ChannelNewsAsia: FIVE ON FRIDAY: Why GenevieveLohCNA thinks you should watch Boo Junfeng’s Apprentice … https://t.co/kg4BtJARnQ
756432054552670208	Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts https://t.co/ueoI3ANcWe
756432108990496768	RT @ChannelNewsAsia: FIVE ON FRIDAY: Why @GenevieveLohCNA thinks you should watch Boo Junfeng’s Apprentice https://t.co/YKPvEh1bIg https://…
756432198924926976	Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/lVEwnrUbVu
756432494786932737	RT @GandhiJump: https://t.co/7h0gkvkdFP are #japan trying to hide dolphin slaughter by arresting activists? #OpKillingBay
756432528425103360	Happy for these hawkers, but there are many more great hawkers to support out there. https://t.co/356XWIYeps
756432810525728772	CNA: Five on Friday: Why you should watch Boo Junfeng’s prison film Apprentice https://t.co/4PuuqJQseJ
756432838321377280	RT @ASEANstudies: "The failure of the ASEAN Foreign Ministers to issue the joint statement is symptomatic of ASEAN’s outmoded... https://t.…
756433118362501120	HDB resale prices remain unchanged in Q2, transactions on up - Channel NewsAsia https://t.co/08wd4iBc5t
756433127573041152	JUST IN: Singapore's Ministry of Communications and Information bans publication and distribution of ISIS-linked Al Fatihin newspaper
756433139287732224	Do we even dare expect lower fares? Higher taxes maybe ... https://t.co/Lus2ncX5FO
756433327326896128	Computer_ID: Apple to open first Apple Store in Taiwan - Channel NewsAsia https://t.co/rzkUlZBWNZ #AppleNews #computer #pc #Apple #iPhone …
756433826499268608	Go watch @witheringtravis 's mastery now! You won't be disappointed with #Apprentice https://t.co/nhEetEiR5F
756433830915956737	“ISIS’ intention to use the newspaper, Al Fatihin, to spread extremist ideology in the region is deplorable": Dr @YaacobIbrahim
756433865477017600	Rosberg signs two-year extension at Mercedes https://t.co/3CLtyzLccj
756433867251130368	Indian air force plane goes missing with 29 on board https://t.co/AovNsddqRe
756433868769472512	Five on Friday: Why you should watch Boo Junfeng’s prison film Apprentice https://t.co/mYxhxlzLbU
756433870455648257	Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/wphFxrJ4R6
756433872104009728	CAS ruling limits room for 'legal manoeuvring' to defend Russian athletes - Kremlin https://t.co/q4l1Tu1XVb
756433873727135744	EU refers Greece to court over failure to recover shipyards state aid https://t.co/QZva143s57
756434017856000000	Tbh.. its damn good https://t.co/yRu1hb06a9
756434104791494656	Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/Z5wKI2uBCg
756434218486407168	#Qatar Five on Friday: Why you should watch Boo Junfeng’s prison film Apprentice: It took Boo 5 years to make... https://t.co/vXlbmjMsLu
756434272307781633	RT @GandhiJump: https://t.co/7h0gkvkdFP are #japan trying to hide dolphin slaughter by arresting activists? #OpKillingBay
756434677209112578	Two Singapore hawker stalls awarded Michelin star https://t.co/tbqdEmL5m1
756434737552433152	Extremism has no place in Singapore. We take a very strong stance against terrorist propaganda: Dr @YaacobIbrahim
756434850505109504	We have never asked to be part of this narrative... https://t.co/lphSQsBjZo
756434941760512001	can't wait for the teasing https://t.co/ltI6RMymPz
756435275409088512	RT @SumishaCNA: JUST IN: Malaysian Anti-Corruption Commission confirms it's working with @FBI on @TheJusticeDept #1MDB investigations
756435340596948992	RT @SumishaCNA: But MACC says its cooperation with @FBI is focused on possible fraud & money laundering by a businessman thought to have co…
756435579995361281	CAS ruling limits room for 'legal manoeuvring' to defend Russian athletes - Kremlin https://t.co/iKelnPKVvd
756435582365171712	EU refers Greece to court over failure to recover shipyards state aid https://t.co/6D2pASyjR2
756435583543676928	Rashid ignored, England bat against Pakistan at Old Trafford https://t.co/X0AWxm4fzS
756435784928993284	ChannelNewsAsia: JUST IN: Singapore's Ministry of Communications and Information bans publication and distribution of ISIS-linked Al Fatihi…
756435786942320640	ChannelNewsAsia: “ISIS’ intention to use the newspaper, Al Fatihin, to spread extremist ideology in the region is deplorable": Dr YaacobIbr…
756435789135880192	ChannelNewsAsia: "Extremism has no place in Singapore. We take a very strong stance against terrorist propaganda": Dr YaacobIbrahim
756435790977261568	ChannelNewsAsia: RT SumishaCNA: JUST IN: Malaysian Anti-Corruption Commission confirms it's working with FBI on TheJusticeDept #1MDB invest…
756435793497980928	ChannelNewsAsia: RT SumishaCNA: But MACC says its cooperation with FBI is focused on possible fraud & money laundering by a businessman tho…
756435830776795138	#world #singapore Fears for peace deal as fighting flares in Mali's desert north: Tuareg rebels battled... https://t.co/p1eQ2jPr4s #news
756435943616344066	CAS ruling limits room for 'legal manoeuvring' to defend Russian athletes - Kremlin https://t.co/wzx9xSNTF5
756435945654718465	EU refers Greece to court over failure to recover shipyards state aid https://t.co/7NtDHy6qXi
756435947164667904	Rashid ignored, England bat against Pakistan at Old Trafford https://t.co/iIOHXGoRHP
756436330024808448	IEF views on market developments https://t.co/MsyCXGYruz
756436436748898305	https://t.co/WtUOtAfrbi HomeTeamNS offers free gym access to members affected by California Fitness closure
756436654395568129	Argentina eye Pochettino, Simeone to fill coach void https://t.co/frQMUvyCGP https://t.co/PgpzX2jb4L
756436686263898114	RT @GenevieveLohCNA: Go watch @witheringtravis 's mastery now! You won't be disappointed with #Apprentice https://t.co/nhEetEiR5F
756436787657056256	I like this...extremism and terrorism have no place on Earth...:) https://t.co/CEP3RmmNC2
756436893374439424	RT @MelGohCNA: White House calls for Malaysian transparency in wake of 1MDB scandal - Channel NewsAsia https://t.co/sFnRdwGsdz
756436917407719424	Russia's athletics ban has saved the Games, says Campbell: REUTERS: The decision to ban Russia's track and fi... https://t.co/3uQLdJlEig
756437214544953345	EU refers Greece to court over failure to recover shipyards state aid https://t.co/R21emy5En5
756437215572615168	Rosberg signs two-year extension at Mercedes https://t.co/DEN3pNDHwx
756437218063941632	CAS ruling limits room for 'legal manoeuvring' to defend Russian athletes - Kremlin https://t.co/SNvhIOXwYy
756437219309654016	Rashid ignored, England bat against Pakistan at Old Trafford https://t.co/cgXiKLCFB0
756437855468068865	Those caught possessing, distributing IS-linked Al Fatihin paper in S'pore risk jail/fine https://t.co/818PSvJhBd https://t.co/tHfsfKZZdq
756437896119201793	RT @JeremyKohCNA: I'll have reactions from family members in #Beijing https://t.co/7svrfPSYCI
756437909918523392	NEWS: EU refers Greece to court over failure to recover shipyards state aid https://t.co/8kvPurXgDm https://t.co/ZEHgndtNXQ
756437917581479936	NEWS: Rashid ignored, England bat against Pakistan at Old Trafford https://t.co/1k9AVzT0aO https://t.co/8j2FaubDCD
756437922249740288	CAS ruling limits room for 'legal manoeuvring' to defend Russian athletes - Kremlin https://t.co/Di0yJH0wbd
756437924569227264	RT @SteveLaiCNA: We'll also have @ToniWatermanCNA asking @MichiyoCNA how many Pokemon she has caught. It's gone LIVE in Japan!!! https://t.…
756437924904775680	EU refers Greece to court over failure to recover shipyards state aid https://t.co/AcGPFzrBzC
756437927287099392	Rashid ignored, England bat against Pakistan at Old Trafford https://t.co/iFSFx8YLak
756437928864194561	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/Qbxj7WbwBV https://t.co/5KTEA5fYAU
756437934673391616	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/pcO639HO3u https://t.co/U74ttXL29J
756437954915074048	CAS ruling limits room for 'legal manoeuvring' to defend Russian athletes - Kremlin https://t.co/pAgrc5ovMR
756437957909868544	EU refers Greece to court over failure to recover shipyards state aid https://t.co/oUeqN8gDwN
756437960250232832	Rashid ignored, England bat against Pakistan at Old Trafford https://t.co/J3OsyhPU4l
756438126730448900	RT @ChannelNewsAsia: FIVE ON FRIDAY: Why @GenevieveLohCNA thinks you should watch Boo Junfeng’s Apprentice https://t.co/YKPvEh1bIg https://…
756438154513489920	RT @ChannelNewsAsia: Those caught possessing, distributing IS-linked Al Fatihin paper in S'pore risk jail/fine https://t.co/818PSvJhBd http…
756438221664518144	70 #whales corpses discovered in #Chile  https://t.co/hzd4Siyzpu #animals #oceans #sea https://t.co/lgYYH98X9r
756438221907787776	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/xGjgOd3jen
756438246335193089	#singapore #news UK economy wilting fast after Brexit vote, as PMI shows record drop: Britain's eco... https://t.co/dlOIFqZegy #business
756438250135232512	RT @SumishaCNA: BREAKING: @ChannelNewsAsia understands ministers have decided to suspend -not end- search for #MH370 upon completion of 120…
756438290367062018	RT @SumishaCNA: Malaysia "should be conspicuous about making clear that they're committed to transparency and good governance" #1MDB https:…
756438497192357893	RT @ChannelNewsAsia: Those caught possessing, distributing IS-linked Al Fatihin paper in S'pore risk jail/fine https://t.co/818PSvJhBd http…
756438779032801281	RT @ChannelNewsAsia: Hawkers in Singapore taste #MichelinStar fame https://t.co/bxMoARecjr #michelinguidesg https://t.co/2wVyrMA9Tc
756438842991845377	Now in Asia: Indian air force plane goes missing with 29 on board https://t.co/F34DlCkW2z
756438844166189056	Best. ?? https://t.co/dk2e8w26ID
756438901149962241	RT @ChannelNewsAsia: Those caught possessing, distributing IS-linked Al Fatihin paper in S'pore risk jail/fine https://t.co/818PSvJhBd http…
756439154037170178	RT @ChannelNewsAsia: Those caught possessing, distributing IS-linked Al Fatihin paper in S'pore risk jail/fine https://t.co/818PSvJhBd http…
756439389698400256	Just Happened in Asia: Indian air force plane goes missing with 29 on board https://t.co/F34DlCkW2z
756439392470917121	Just Happened in Asia:  Japanese operators confident of winning bid to develop Singapore-Malaysia HSR  https://t.co/G6pMBSkGDx
756439398758002689	By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756439467259531264	Exclusive - Top Obama aide to take call for South China Sea calm to Beijing https://t.co/IPDUphbEnD
756439469662887936	Argentina eye Pochettino, Simeone to fill coach void https://t.co/LCsvlnFsI5
756439471097319424	Russia's athletics ban has saved the Games, says Campbell https://t.co/1ykGVAjZ6k
756439472632426496	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/g2nE6lgKBQ
756439474205327360	Japanese operators confident of winning bid to develop Singapore-Malaysia HSR  https://t.co/6BDFE35516
756439476025585664	Hamilton tops opening practise for Hungarian Grand Prix https://t.co/Z0TblxXXDQ
756439477569150977	America's Cup crews test British sea power on home waters https://t.co/nx5lf4D3f1
756439479280369665	By George, Britain's little prince is 3! https://t.co/9n3yN5i58G
756439553305567232	dlvr -  EU refers Greece to court over failure to recover shipyards state aid https://t.co/p08sR1LIjJ
756439554534498305	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/bAdx1o95oJ
756439557151739904	By George, Britain's little prince is 3! https://t.co/V6Rk1ppQpW
756439557495676928	dlvr -  Rashid ignored, England bat against Pakistan at Old Trafford https://t.co/HKRaOWntSD
756439561970999296	dlvr -  Exclusive - Top Obama aide to take call for South China Sea calm to Beijing https://t.co/ssxIYbbepu
756439568077828096	dlvr -  Argentina eye Pochettino, Simeone to fill coach void https://t.co/IaCqxQkVmk
756439570770636800	dlvr -  Russia's athletics ban has saved the Games, says Campbell https://t.co/ebu6osV25X
756439573052260352	dlvr -  Hamilton tops opening practise for Hungarian Grand Prix https://t.co/wwAH7R3zkc
756439574906146816	dlvr -  America's Cup crews test British sea power on home waters https://t.co/H5aq34uOW3
756439577145901056	dlvr -  Japanese operators confident of winning bid to develop Singapore-Malaysia HSR https://t.co/Uhtt9LB59U
756439578957914112	dlvr -  IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/RwSPnLg0Xu
756439580597903361	dlvr -  By George, Britain's little prince is 3! https://t.co/XMkHRGsXtC
756439639557365760	ChannelNewsAsia: Those caught possessing, distributing IS-linked Al Fatihin paper in S'pore risk jail/fine … https://t.co/obPoW8ZyeT
756439640513519616	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
