post_id	post_text	source_type_name	post_type
756780242685992960	RT @STsportsdesk: Justin Liu is a two-time Asian Games and former world champion in the 420. #OneTeamSG #RoadToRio https://t.co/JSLzcNHWmu	Twitter	Tweet
757364901698383872	Singapore table tennis looks to local talent as ‘way forward’, ahead of #Rio2016 medal quest https://t.co/nPu9R3lrrs https://t.co/r9pRxv8JG7	Twitter	Tweet
757417192245776384	RT @STsportsdesk: Who would've guessed?! #OneTeamSG #RoadToRio https://t.co/C2qg42h5WI	Twitter	Tweet
757564857180762112	#TeamSG shuttler Derek Wong aiming for one final smash at glory at #Rio2016 https://t.co/6nUReVRbK2 https://t.co/qlHBZeUJW1	Twitter	Tweet
757566232698589184	RT @TODAYonline: #TeamSG shuttler Derek Wong aiming for one final smash at glory at #Rio2016 https://t.co/6nUReVRbK2 https://t.co/qlHBZeUJW1	Twitter	Tweet
758122631484829696	RT @STsportsdesk: For @joschooling, the blacker the chai tau kway, the better! #OneTeamSG #RoadToRio https://t.co/wpYzrFNPLv	Twitter	Tweet
761228163527487488	RT @ChannelNewsAsia: #FF @OliviaQuayCNA and @JackBoardCNA for updates on #OneTeamSG at #Rio2016 https://t.co/ndvihxUYzf https://t.co/XjwYeY…	Twitter	Tweet
761225867213144064	#FF @OliviaQuayCNA and @JackBoardCNA for updates on #OneTeamSG at #Rio2016 https://t.co/ndvihxUYzf https://t.co/XjwYeYfGxY	Twitter	Tweet
761250938149404673	RT @ChannelNewsAsia: #FF @OliviaQuayCNA and @JackBoardCNA for updates on #OneTeamSG at #Rio2016 https://t.co/ndvihxUYzf https://t.co/XjwYeY…	Twitter	Tweet
761350526516752384	Rio mayor asks locals to stay home during the games.  #Rio2016 @Olympics2016  https://t.co/85ulh3PkZ4	Twitter	Tweet
761356387158888448	Ouch. That will be referring to ????'s #IOC member Princess Anne. #AndyMurray #Olympics2016 #Rio2016 https://t.co/GXvzTREKwZ	Twitter	Tweet
761373130266808320	Mediacorp to broadcast Rio 2016 live https://t.co/SHbcXhRBwh	Twitter	Tweet
761373121194496000	Mediacorp to broadcast Rio 2016 live https://t.co/9R4MIk3fwx	Twitter	Tweet
761373118929567744	dlvr -  Mediacorp to broadcast Rio 2016 live https://t.co/qO4S7vEvio	Twitter	Tweet
761373110725582848	Mediacorp to broadcast Rio 2016 live https://t.co/hVDACuVAP5	Twitter	Tweet
761373102676713472	[News] Mediacorp to broadcast Rio 2016 live https://t.co/sKr5DW67I0	Twitter	Tweet
761373099581251584	Mediacorp to broadcast Rio 2016 live https://t.co/H3PqYaayBB	Twitter	Tweet
761372228046819328	Mediacorp to broadcast Rio 2016 live https://t.co/eHqXNAC6QB	Twitter	Tweet
761371192750137346	Mediacorp to broadcast Rio 2016 live https://t.co/3bDusuGGKM	Twitter	Tweet
761370453860573184	Mediacorp to broadcast Rio 2016 live https://t.co/CewfeI1qjU	Twitter	Tweet
761367580586053636	Mediacorp adds live coverage to schedule of comprehensive Rio 2016 content https://t.co/ww8sLJHOwd	Twitter	Tweet
761376281762160640	Mediacorp to broadcast Rio 2016 live https://t.co/jiaIKtFNkd #singapore	Twitter	Tweet
761375973405327361	[CNA] Mediacorp to broadcast Rio 2016 live https://t.co/nUBrhE9G7O #SGnews	Twitter	Tweet
761375654944313344	Mediacorp to broadcast Rio 2016 live https://t.co/AYulEKoiZw	Twitter	Tweet
761375364715118593	Oh yes!!!!! We can get to catch live games in Singapore after all #Rio2016 ??????????????????? https://t.co/GhqSeMoXWZ	Twitter	Tweet
761374069556215808	Mediacorp to broadcast Rio 2016 live https://t.co/r58xxbDkzk	Twitter	Tweet
761373302061461504	Mediacorp to broadcast Rio 2016 live https://t.co/W5pTYSlW4w	Twitter	Tweet
761384696735424512	Mediacorp to broadcast Rio 2016 live https://t.co/yf6xfc3bHW	Twitter	Tweet
761384677831684096	#news #business Mediacorp to broadcast Rio 2016 live https://t.co/AnhwlwL52Q  #singapore	Twitter	Tweet
761381531650785280	Mediacorp to broadcast Rio 2016 live https://t.co/ZVMlOCRFCN	Twitter	Tweet
761562577574977536	Mediacorp to broadcast Rio 2016 live https://t.co/S4YnTp9BEm	Twitter	Tweet
761711900425990146	Mediacorp to broadcast Rio 2016 live https://t.co/SkQ1jwhDd7	Twitter	Tweet
