post_id	post_text
bab54c5097eb40d75e740c74a2a6700d	SINGAPORE -From October, some residents might notice more mosquitoes buzzing in their neighbourhoods.But don't worry, these male Aedes mosquitoes do not bite or transmit disease. They are in fact the latest allies in Singapore's fight against dengue.They will be armed with Wolbachia, a naturally occurring bacteria. When these male mosquitoes mate with female mosquitoes, the bacteria causes the females to produce eggs that do not hatch.Over time, this method could lead to a fall in the Aedes aegypti population, which transmit the viruses that cause dengue fever. These mosquitoes also carry the Chikungunya and Zika viruses.On Saturday (Aug 27), Environment and Water Resources Minister Masagos Zulkifli announced that the National Environment Agency (NEA) will release these bacteria-carrying mosquitoes at three sites as part of a small-scale field study.The areas, Yishun Street 21, Tampines Avenue 4 and Jalan Riang/Jalan Sukachita in Serangoon, previously had dengue outbreaks and represent a cross-section of typical housing estates in Singapore.Speaking to reporters at a public outreach event organised by NEA, Mr Masagos said that while efforts to reduce the mosquito population have been "fairly successful", Singapore is still susceptible to dengue outbreaks as it is located in a region where dengue is endemic.The new method "works together with source eradication"."Whatever we're doing today to ensure that mosquitoes don't have opportunity to breed must continue", he added.The NEA estimated that an average of one to three male mosquitoes per person will be released at regular intervals at each of the three sites.The six-month field study aims to understand the behaviour of Wolbachia-carrying Aedes aegypti in the urban environment, for instance, how far and high they fly, and how well they compete with their counterparts without Wolbachia to mate with females.To collect data, NEA will be setting up traps at various locations, including public spaces and the homes of resident volunteers. The data will support the planning for a suppression trial, which may start in 2017.
6fee42ee5a2171980c1617fbabea7b78	SINGAPORE - In the first case of locally-transmitted Zika infection here, a 47-year-old Malaysian woman living in Aljunied Crescent tested positive for the virus on Saturday (Aug 27) at the Communicable Diseases Centre (CDC) at Tan Tock Seng Hospital.The patient, who had not travelled to Zika-affected areas recently, had developed symptoms two days earlier and was referred to the CDC by a geeral practitioner the day after, the Ministry of Health (MOH) and National Environment Agency (NEA) said in a statement. She is hospitalised but is recovering.This is not the first case of Zika here. In May this year, a 48-year-old permanent resident was thought to have caught the virus on a business trip to Sao Paulo in Brazil.The two agencies said that importation of the virus from overseas is inevitable given the high volume of travel to and from Singapore, and that local transmission is also possible given the presence of the Aedes mosquito that spreads the virus.Furthermore, as many of the people infected with Zika do not show symptoms, some transmission may already have taken place before the latest case of Zika was identified.MOH is screening the patient's close contacts, including household members.Health minister Gan Kim Yong said: "MOH and NEA are working together to carry out vector control and testing of residents in that area with fever and rashes so as to reduce the risk of further spread. I encourage those who are unwell and with these symptoms to visit their doctors for medical attention. We have also alerted our clinics in the area to look out for suspect cases and refer them to the CDC for testing."MOH added that, as a precaution, all suspected Zika cases will be isolated pending blood test results.At this point, three other suspect cases - two in a family who live in the area and an individual who works in the area - have preliminarily tested positive based on their urine samples. They are pending further confirmation tests.MOH has also alerted all general practitioners around the patient's home and workplace to be extra vigilant and immediately report patients with symptoms associated with Zika.Meanwhile, the NEA has deployed about 100 officers to the vicinity of Aljunied Crescent for inspections of premises, mosquito-control measures such as misting and drain oiling, and distribution of Zika information leaflets.The agency said it will also activate partner agencies of the Inter-Agency Dengue Task Force to step up "search and destroy" efforts.
10b0a0472f0b98e793aa27e373b086a9	A 47-year-old woman has tested positive for the Zika virus, in the first locally transmitted case here.This follows the first Zika case here in May involving a 48-year-old man who had visited Brazil, one of the Zika-affected countries.The second patient, a Malaysian who lives in Aljunied Crescent, has had no travel history to Zika-affected countries."She was likely to have been infected in Singapore," said a joint press statement yesterday from the Ministry of Health (MOH) and National Environment Agency (NEA).Three other people may be down with the virus. Two live near the woman's workplace, with one working nearby. Their preliminary tests were positive, but the authorities are waiting for final confirmation.IMPORTED CASES INEVITABLEWith the presence of Zika in our region and the volume of travel by Singaporeans as well as tourists, it is inevitable that there will be imported cases of Zika into Singapore. ''THE MOH-NEA STATEMENTAs the Zika virus is spread by the Aedes mosquito, which also spreads dengue, the authorities expect more locally spread cases.While Zika infection is mild for most, it can have fatal effects on unborn children. Pregnant women who get infected could give birth to babies with small heads, or microcephaly, and other brain defects.The first locally infected victim lives at Block 102, Aljunied Crescent, and works in the vicinity.She started to have a rash, fever and conjunctivitis on Thursday and saw a doctor on Friday before being sent to the Communicable Diseases Centre at Tan Tock Seng Hospital.She tested positive for the Zika virus yesterday. She is well and recovering, but is still under observation there, the authorities said.Ms Tin Pei Ling, MP for MacPherson SMC which covers Aljunied Crescent, said the other three who might be infected are not in her constituency. Still, her grassroots leaders went door to door yesterday to give out insect repellent, and urge people to keep their premises larva-free.The MOH-NEA statement said: "With the presence of Zika in our region and the volume of travel by Singaporeans as well as tourists, it is inevitable that there will be imported cases of Zika into Singapore."There is also risk of subsequent local transmission, as the Aedes mosquito vector is present here."Zika has also surfaced in neighbouring countries including Cambodia, Indonesia, the Philippines, Malaysia, Vietnam, Laos and Thailand.Health Minister Gan Kim Yong said MOH and NEA are working together to carry out vector control and testing of residents in that area who have fever and rashes, so as to reduce the risk of further spread.He urged those who have these symptoms to see a doctor.The MOH has also alerted all general practitioners in the area to be extra vigilant and to immediately report patients suspected to have the virus to the ministry.All those suspected to have the Zika virus will be isolated till they are proven to not have the virus.NEA yesterday stepped up misting and fogging in the Aljunied area to kill adult mosquitoes.Its officers are inspecting premises for larvae and may need to gain entry into inaccessible premises by force after serving notices, it said.Dr Leong Hoe Nam, an infectious diseases specialist at Mount Elizabeth Novena Hospital, reiterated the need for a national approach.He said: "The onus is on every citizen to kill the mosquitoes and in turn kill the virus."facebook.com/ST.SalmaSEE TOP OF THE NEWSHOMEWORLD
284cc2ea05a6537d1285c0c4936bd7a9	From October, some residents might notice more mosquitoes buzzing in their neighbourhoods.But don't worry, they won't bite.In fact, these male Aedes mosquitoes do not transmit disease, but are Singapore's latest allies in the fight against dengue. What the male mosquitoes will be armed with is Wolbachia, a naturally occurring bacterium. When these males mate with female mosquitoes, the bacterium causes the females to lay eggs that do not hatch.Over time, this could lead to a fall in the population of Aedes aegypti mosquitoes, which transmit the viruses that cause dengue fever. These mosquitoes also carry the chikungunya and Zika viruses.Yesterday, Environment and Water Resources Minister Masagos Zulkifli announced that the National Environment Agency (NEA) will release the bacteria-carrying mosquitoes at three sites as part of a field study. The areas, Yishun Street 21, Tampines Avenue 4 and Jalan Riang/Jalan Sukachita in Braddell Heights, previously had dengue outbreaks and represent a cross-section of typical housing estates here - both high-rise and landed.The Environmental Health Institute, a public health laboratory at the NEA, has been studying this novel method since 2012 and carrying out risk assessment and research to confirm that it is safe.Q Why is the National Environment Agency (NEA) conducting a field study that involves the release of male Wolbachia-carrying Aedes aegypti mosquitoes?A Such mosquitoes can potentially reduce the Aedes aegypti population, which spreads dengue.When they mate with their female counterparts, it results in eggs that do not hatch and no offspring.The field study is needed to ensure this strategy will work in our urban environment.Q Is anew mosquito species introduced into the environment?A No. The male Wolbachia-carrying Aedes aegypti mosquito is from the same species as the one in our environment. The only difference is that it is carrying Wolbachia, a naturally-occurring bacterium found in 60 per cent of insect species.Q How safe is Wolbachia?A NEA has conducted a comprehensive risk assessment of the method and found it to be safe, with no risk to human health and insignificant risk to ecology.Q Why were the three sites - within Braddell Heights, Nee Soon East and Tampines West - chosen for the field study?A They represent a cross-section of typical housing estates and have seen dengue outbreaks previously and/or have Aedes aegypti mosquitoes present. NEA has been monitoring the mosquito population in these sites for up to three years, providing a baseline for comparative studies.Q Will residents at the sites get more bites?A They may see a temporary increase in mosquitoes in the first few days after each release. Male mosquitoes may land on humans as they are seeking a mate, which is likely to be near a human, in search ofa meal.Butmalemosquitoesdonot bite or transmit diseases as they feedonplant juices.Q Dothe male mosquitoes draw female ones to the sites?A No, the male mosquito is attracted to the female, not the otherwayround. Source: NEAMr Masagos told reporters that while efforts to reduce the mosquito population have been "fairly successful", Singapore is still susceptible to dengue outbreaks as it is in a region where dengue is endemic.He said the new method "works together with source eradication". "Whatever we're doing today to ensure that mosquitoes don't have opportunity to breed must continue."The NEA estimated that an average of one to three male mosquitoes per person will be released at regular intervals at each of the three sites.The six-month field study aims to understand the behaviour of Wolbachia-carrying Aedes aegypti male mosquitoes in the urban environment, such as how far and high they fly, and how well they compete with counterparts without Wolbachia to mate with females.To collect data, NEA will set up traps at locations including public spaces and the homes of resident volunteers. The data will support the planning for a suppression trial, which may start next year.Experts said that similar trials abroad have had a positive impact.For instance, a release of Wolbachia-infected mosquitoes led to a more than 90 per cent drop in the mosquito population on an island in Guangzhou, China, under a pilot project starting in March last year.Professor Ary Hoffmann from the University of Melbourne, who sits on the Dengue Expert Advisory Panel appointed by NEA in 2014, said: "Sterile release has been used against disease vectors and agricultural pests very successfully for many years around the world."The only difference here is that sterility is being generated through Wolbachia rather than radiation, but Wolbachia bacteria are already present in many insects...and do not pose any risk to humans."He added that Wolbachia, which can be found in over 60 per cent of insect species including butterflies and dragonflies, cannot be transmitted to mammals, including humans, as the bacteria cannot survive outside insect cells.Mr Derek Ho, director-general of NEA's Environmental Public Health Division, said residents should continue mosquito-control procedures, such as clearing stagnant water. Associate Professor Vernon Lee, of the National University of Singapore's Saw Swee Hock School of Public Health, said: "Any gains through the Wolbachia method could be negated if residents provide mosquitoes with an abundance of breeding sites."Housewife Winnie Lim, 49, who lives at one of the Tampines blocks where the field study will be conducted, said the Wolbachia technology sounds like a "good idea"."Instead of fumigating all the time, this is a long-term effort to wipe out the mosquitoes."
9423ff72a916f8c06565e1e209b87136	While details of Singapore's first local case of Zika infection are only beginning to emerge, the National Environment Agency (NEA) has already taken steps to monitor the situation at Aljunied Crescent and prepare residents for battle.When The Sunday Times visited last night, posters had been put up at the lift landings of Block 102, providing background information on Zika. Another poster informed residents that fogging of the area would take place this morning. Five NEA officers were seen in the area last night distributing leaflets and bottles of insect repellent spray.A 47-year-old Malaysian woman who lives in the block was yesterday confirmed to have the Zika virus. It is the first locally transmitted case in Singapore.MacPherson MP Tin Pei Ling said she is in touch with the Ministry of Health for regular updates."I urge pregnant ladies to monitor your health especially carefully, as Zika can affect the development of an unborn child. As a mother, I am deeply concerned about this and had in fact raised this issue in Parliament earlier this year," she said.She noted on Facebook last night that Block 102 is not an active dengue cluster, but added that NEA will be thermal fogging the area today as a precautionary measure.WHAT IT ISA virus first identified in 1947 in Uganda. The first human case was reported in 1954 but infections were initially rare and there were no outbreaks - until 2007 on the Micronesian island of Yap.The alarm was truly sounded last year when more than 4,000 cases of microcephaly caused by the Zika virus were reported last year. It has since spread to more than 40 countries.SYMPTOMSSimilar to those of dengue fever, including fever, rashes, joint or muscle pains, and headaches. Red eyes or conjunctivitis are other symptoms.Zika symptoms, however, tend to be milder, and only about 20 per cent of those infected with Zika display these symptoms.HOW IT IS SPREADTransmitted through the bite of an infected Aedes aegypti mosquito, the same mosquito that transmits dengue, which typically bites in the day . Zika can also be spread through sex.EFFECTSInfection during pregnancy can cause microcephaly, a birth defect which causes the baby to have a smaller head and brain. Some of those infected also developed Guillain-Barre syndrome, an auto-immune disorder.TREATMENTThe disease is usually mild and needs no particular treatment. The World Health Organisation advises people with Zika to rest more, drink more fluids and treat the pain and fever with common medicine. If symptoms worsen, they should see a doctor. There is currently no vaccine, although experts from the United States' National Institutes of Health began a clinical trial of a vaccine candidate early this month.FIRST CASE IN SINGAPOREA 48-year-old man tested positive for Zika in May. He had travelled to Sao Paulo for work between March 27 and May 7. He was transferred to the Communicable Diseases Centre at Tan Tock Seng Hospital for treatment.Chua Siang YeeMr Aloysius Yeo, 33, an oil and gas project engineer living on the 12th floor of the block with his family, said two NEA officers came to his flat in the afternoon to do chemical-spraying, and others later came around to give him a leaflet and a bottle of repellent.He said there have been many mosquitoes in the area in the past year and, after learning about the latest Zika case, he now puts repellent on his three children and has stopped them from going to the playground downstairs.PRECAUTIONS TAKENI urge pregnant ladies to monitor your health especially carefully, as Zika can affect the development of an unborn child. As a mother, I am deeply concerned about this and had in fact raised this issue in Parliament earlier this year.MS TIN PEI LING, MP for MacPherson.Ms Vidya Viswanathan, 25, who came to Singapore five months ago to pursue a master's degree in accounting at James Cook University Singapore, said: "I'm worried my exams and assignments and everything will suffer if I get it."Her mother Jeyashri Krishnamurthy, 54, a chartered accountant who is visiting her from India, said : "I'm really getting worried about this Zika thing. We take every precaution - no plants, no water anywhere. I hope it (Zika) stops here."Polyclinic maintenance worker Myo Min Soe, 40, and his colleague Kyaw Soe Thet, 34, had not heard the news when The Sunday Times visited them on the third floor of Block 102. They said they had taken the stairs and had not seen the posters at the lift landing.Mr Myo Min Soe, who had been living there for about eight months, said: "We are going to start protecting ourselves with insect repellent."But he and Mr Kyaw Soe Thet are not that worried. "It's not just this place, we need to be careful everywhere," he said.Although the latest Zika patient has not been to Zika-affected countries recently, Mr Myo Min Soe suggested she may have caught it from someone who has.Meanwhile, also remaining vigilant are members of Team Singapore who competed at the recently concluded Rio Olympics. Mr Low Teo Ping, Chef de Mission for Team Singapore, said its members had returned to Singapore symptom-free and are being monitored closely.
a9e982f48c3fe44c03bcea4370e1ceae	SINGAPORE - The Ministry of Health (MOH) has confirmed 41 cases of locally transmitted Zika, all of whom were residents or workers in the Aljunied Crescent and Sims Drive area. They include 36 foreign construction workers.This is out of 124 people including 118 construction workers who have been tested, most of them on Aug 27. In all, 78 have tested negative and the remaining five cases are still pending, MOH and the National Environment Agency announced in a joint press conference on Sunday (Aug 28).None of the cases are known to have travelled to Zika-affected areas recently, suggesting local transmission. These are in contrast to Singapore's first Zika case in May, a 48-year-old man who had visited Brazil, one of the Zika-affected countries.The latest announcement follows the one on Saturday (Aug 27) of Singapore's first locally transmitted case of the virus - a Malaysian woman. She is the only confirmed female case in Singapore.Of the 41 cases, 36 were detected through active testing. In all, 34 cases have fully recovered. The remaining seven are still symptomatic and recovering at Tan Tock Seng Hospital.So far, the cases appear to be localised within the Aljunied Crescent and Sims Drive cluster, said MOH.The NEA started intensified vector control operations - targeting Aides mosquitoes which spread the virus - and will continue for 14 days, with surveillance of the situation for another 21 days afterwards. These include misting, fogging and increasing the frequency of flushing and oiling drains to prevent mosquito breeding.The Zika virus has mild effects on most people but it can be fatal for unborn children. Pregnant women who get infected may give birth to babies with small heads, a condition called microcephaly, and other brain defects.As the Zika virus is spread by the Aedes mosquito, which also spreads dengue, authorities expect more locally spread cases. Vector control remains a central strategy to fight the spread, said authorities.About four in five people infected by Zika will not show symptoms. For those who do, the symptoms include viral fever, skin rashes, body aches and headache.On Aug 22, a GP clinic in the area informed authorities of an unusual increase in viral fever. The next day, MOH went down and told GPs to refer new cases to the Communicable Diseases Centre, and began tracing past cases. At that point in time, authorities suspected a mild viral infection but not Zika specifically.On Aug 27, more than 200 officers were activated to conduct intensified control operations.There are more than 6,000 premises in the area, including 5,000 HDB units. The NEA inspected 1,800 units on Aug 27 and is continuing inspections.A construction site at Sims Drive, where the 36 infected workers were working, was also issued a stop-work order on Aug 27. This was after mosquito breeding was detected on Aug 24 and the NEA assessing that the site's housekeeping was poor as of Aug 27, although no breeding was detected on Aug 27.
36cbaa51eabf58f20bcdc3e0e6d98ba8	A coffee shop beer promoter here has been confirmed as the only female case of Zika which has been transmitted locally.The Straits Times understands that the woman works at Y2000 Beer Garden coffee shop in Block 45, Sims Drive.According to the Ministry of Health (MOH), the 47-year-old Malaysian - who has not been named - developed a fever, rash and conjunctivitis last Thursday.She was referred to the Communicable Diseases Centre (CDC) at Tan Tock Seng Hospital, where she tested positive on Saturday.She was hospitalised for observation, but has since recovered and been discharged.A member of her household was also screened for Zika, but had no symptoms.According to colleagues, she has been working at the coffee shop for about five years. She works from 3.30pm to 10.30pm daily except on Mondays. She took leave on Thursday when she felt unwell."On Thursday afternoon, she popped by to check out the beer stock," said drinks seller Zhang Jing, 31. "I saw that she had a lot of rashes all over her body, on her hands, her face and her legs. She also had a fever."Another drinks seller said that the woman went to see a doctor at Sims Drive Medical Clinic, in Block 53, Sims Place.She called on Friday to inform the management that she had a medical certificate, and that she needed someone to cover her shift.Odd-job worker Francis Boy, 52, who meets his friends for drinks at the coffee shop regularly, said he noticed the beer promoter had not turned up at work since Thursday and was wondering where she had gone.He was surprised to learn about her condition as he had met her at a Seventh Month dinner in the estate just last Wednesday."She was still healthy," he said. "She was still chatty and going from table to table, laughing."Fabian Koh
3cbe542523384cecc669e3ab80985306	The authorities are monitoring places outside the Aljunied Crescent and Sims Drive area - where the Zika cases emerged - after finding that some who contracted the disease either live or work elsewhere.Khatib Camp, Sembawang Drive, and several worker dormitories are among those on the list."Given that the Zika virus is spread by the Aedes mosquito vector, MOH cannot rule out further community transmission in Singapore, since some of those tested positive also live or work in other parts of Singapore," the Ministry of Health and National Environment Agency (NEA) said in a joint statement.Of the 41 confirmed cases of Zika, 36 are foreign construction workers from a site in Sims Drive.NEA inspected their on-site quarters and two other worker dormitories in Kranji Road and Senoko South Road on Saturday. One mosquito breeding site was found at Kranji.Since Saturday, NEA has stepped up its anti-mosquito measures - which include fogging and increased frequency of drain flushing - in the affected area and implicated dorms.Such measures have also been taken in other dorms where the site's workers live, in Joo Chiat Place, Toh Guan Road East and Lorong 101 Changi.Of the other five cases, one is a full-time national serviceman at Khatib Camp who lives in Sims Drive. Another is a 30-year-old Singaporean man who works at the construction site but lives in Sembawang Drive. The rest are a Malaysian woman who lives and works in the cluster area, a retiree - the NSF's father - who lives there, and a 44-year-old unemployed Singaporean who lives in Sims Drive.The authorities said they "have verified with Khatib Camp that there were no symptomatic cases to date".Last night, NEA began distributing insect repellents and leaflets with information on Zika to Sembawang Drive residents, having already done so in the affected area. MOH is carrying out Zika testing on other people with symptoms of fever and rashes who live and work in the main affected area, as well as the other areas of concern.Janice Heng
51bb5c94dd953ed44703722f008b6e8a	By the time the first locally transmitted case of Zika was confirmed last Saturday, the authorities were already tracing past cases of fever in the area.This allowed them to move swiftly on Zika testing of another 123 people last Saturday, said the Ministry of Health (MOH) and National Environment Agency (NEA) in a joint press conference yesterday.Most of the results came in on Saturday night. As of noon yesterday, results were pending for five cases.Said Professor Leo Yee Sin, senior consultant at the Communicable Disease Centre: "The minute the first case was made known - in other words, the blood was detected positive - a lot of investigations had already taken place to find out as much as possible."The MOH was first alerted on the evening of Aug 22, when Sims Drive Medical Clinic flagged an unusual increase in cases of fever, rashes and joint pain.The next day, MOH officials visited the clinic. The cases that the GP had seen were mild. The initial hypothesis was that a mild viral illness was being spread from person to person.At that point, Zika was not specifically suspected.The MOH told the clinic to refer any new cases to the Communicable Diseases Centre (CDC) for testing, and to start tracing past cases.The MOH also told clinics in the vicinity and supervisors of a nearby construction site at 60, Sims Drive, to report any cases to the ministry.Last Thursday, as part of tracing, the MOH approached the construction site's contractor for records of workers who had had fever.That same day, a 47-year-old Malaysian woman developed a fever, rashes and conjunctivitis. She visited Sims Drive Medical Clinic last Friday, and was referred to the CDC.The next day, it was confirmed she had Zika.The MOH jumped into action that day, alerting the NEA and testing another 123 people for Zika, including 118 construction workers. The tests take three to four hours.The NEA intensified anti-mosquito measures in the area, including inspections, misting and fogging, and increasing the frequency of drain flushing and oiling. These will continue for 14 days, with surveillance for another 21 days afterwards.The NEA also started outreach efforts in the Aljunied Crescent and Sims Drive area.Asked about the jump from one case last Saturday to 41 cases announced yesterday, Health Minister Gan Kim Yong noted that part of the reason more cases were discovered was because the MOH went back to past cases to "re-test, relook at the test results" last Saturday.Of the 41 cases, 36 were found through the MOH's active testing of potentially infected people.One reporter also asked him: "So it's not like you knew about it earlier and were keeping quiet about it?"Mr Gan said: "No, of course not."
729ce7970bb039750ec11f5e2a52128f	The number of people in Singapore infected by the Zika virus has gone up, with the Ministry of Health (MOH) saying yesterday that 41, most of whom are foreign construction workers, have tested positive.Thirty-four have fully recovered. The other seven, who are still showing symptoms and are potentially infectious, are recovering in Tan Tock Seng Hospital. All those infected either live or work in the Aljunied Crescent/Sims Drive area.Health Minister Gan Kim Yong said the number is expected to rise as there is a high likelihood of more local transmissions. He highlighted that there may be Zika carriers who show no symptoms - such as fever, rash and red eyes - and do not seek treatment, but are still infectious.Yesterday's update followed news on Saturday that a Malaysian woman living in Aljunied Crescent had tested positive for the Aedes mosquito-borne virus. As she had no travel history to infected countries, it was confirmed as a local transmission, making Singapore the 58th country in the world to report the spread of the disease within its borders. In May, a man returning from Brazil, where Zika is rife, was the first known Zika case here.But the 47-year-old woman is not the first to catch the infection locally. One of the other 40 people infected was sick a month ago, but even he might not have been the first, the authorities said yesterday."They are not known to have travelled to Zika-affected areas recently, and are thus likely to have been infected in Singapore," they said. "This confirms that local transmission of Zika virus infection has taken place."MOH said that at this point, the community transmission appears to be localised within the Aljunied Crescent/Sims Drive cluster.Besides the Malaysian woman, who is said to be a worker at a coffee shop at Block 45 in Sims Drive, the other 40 people comprise 36 foreign workers who work at a construction site at 60 Sims Drive and four Singaporean men.The Singaporean men include a father and son who live in Block 62, Sims Drive. The son is doing his national service at Khatib Camp. MOH is in touch with the Defence Ministry on this and has been told that no one there has symptoms.Another Singaporean man works at the construction site and lives in Sembawang Drive. The fourth lives at Block 54, Sims Drive.The foreign workers were among 118 working at the site who were tested. Some either live or work in Kranji Road, Joo Chiat Place, Senoko South Road, Toh Guan Road East and Lorong 101 Changi.The National Environment Agency is fogging and misting those areas to wipe out Aedes mosquitoes.Mr Gan said that having Zika here was "almost inevitable", given the country's position as a travel hub.Four in five people infected with Zika do not get sick, and for those who do, the illness is brief, lasting three to four days. By the fifth day, the person is usually no longer infectious. But Zika is a worry because it can be harmful to unborn babies. The virus has been linked to microcephaly, in which the baby is born with an exceptionally small and misshapen head.MOH is actively testing people living in the affected areas who have symptoms, as well as close contacts of the 41 confirmed cases.After the initial report on the Malaysian woman, Malaysia's Health Ministry decided to step up health screenings at Johor checkpoints. Similar screenings will also take place at airports hosting direct flights from Singapore, such as in Penang and Langkawi.Mr Gan highlighted how eliminating the Aedes mosquito population was the "most important strategy" in the fight against Zika and urged Singaporeans to do their part.RELATED ARTICLES
