POST_ID	POST_TEXT
755186182003318786	RT @ChannelNewsAsia: #RNC2016: Anti-#Trump protests rock Cleveland as some Republican delegates jeer Trump https://t.co/M3gI0UnZvf https://…
755185794181017601	RT @ChannelNewsAsia: More than 200 new dengue cases in Singapore for 4th straight week; 9,641 cases so far https://t.co/MM1Qx1zmcF https://…
755185703688876032	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755184623705960448	RT @ChannelNewsAsia: More than 200 new dengue cases in Singapore for 4th straight week; 9,641 cases so far https://t.co/MM1Qx1zmcF https://…
755184588134252544	RT @ChannelNewsAsia: More than 200 new dengue cases in Singapore for 4th straight week; 9,641 cases so far https://t.co/MM1Qx1zmcF https://…
755184445208932352	RT @ChannelNewsAsia: More than 200 new dengue cases in Singapore for 4th straight week; 9,641 cases so far https://t.co/MM1Qx1zmcF https://…
755184431283908608	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755183934388969472	RT @ChannelNewsAsia: More than 200 new dengue cases in Singapore for 4th straight week; 9,641 cases so far https://t.co/MM1Qx1zmcF https://…
755183436868882432	RT @ChannelNewsAsia: No shaking off Taylor Swift-Kanye West 'Famous' feud https://t.co/6EDP70UWfL
755183425582014464	"@ChannelNewsAsia: No shaking off Taylor Swift-Kanye West 'Famous' feud https://t.co/nVE6vKWlyv"
755182894948069376	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755181852520919041	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…
755181812305973249	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755180158416326656	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755174464988418049	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755173491637444608	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…
755173332589289477	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755173041202532352	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…
755172953264836608	RT @ChannelNewsAsia: No shaking off Taylor Swift-Kanye West 'Famous' feud https://t.co/6EDP70UWfL
755172870431449088	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…
755172806187323392	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…
755172748863733760	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…
755170637811855360	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755170599429771265	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755170517687164932	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…
755168323080294400	Retweeted Channel NewsAsia (@ChannelNewsAsia):  Mexico president apologises for scandal, vows to fight graft with... https://t.co/W2pSjpGYom
755168293791555584	RT @ChannelNewsAsia: Mexico president apologises for scandal, vows to fight graft with new law https://t.co/ttOnkVvZ0o
755166334623690752	RT @ChannelNewsAsia: German police say several critically wounded in axe attack on train https://t.co/gzL1rkUx0L
755162792810934272	@ChannelNewsAsia #LameStreamMedia again tries 2 make mountain out of a mole hill.Democracy works not Socialism.DNC will B coronation instead
755157909474988032	RT @SimonMarksFSN: Coming up at 6am, watch me live from #RNCinCLE on @ChannelNewsAsia OR listen to @NickHarperFSN live @official938LIVE You…
755157628368453633	Coming up at 6am, watch me live from #RNCinCLE on @ChannelNewsAsia OR listen to @NickHarperFSN live @official938LIVE You pays your money...
755153067272699904	RT @ChannelNewsAsia: Fiat Chrysler faces probes on US car sales https://t.co/bWQrutYAg0
755152678917906432	RT @ChannelNewsAsia: Mexico president apologises for scandal, vows to fight graft with new law https://t.co/ttOnkVvZ0o
755152677437317124	RT @ChannelNewsAsia: Drake's 'Views' takes 10th week atop Billboard 200 chart https://t.co/sURAtJV459
755145863601778689	RT @ChannelNewsAsia: Netflix's subscription additions miss expectations https://t.co/HO875urjQK
755145862863519745	RT @ChannelNewsAsia: Dow, S&P 500 close at fresh records https://t.co/p1JrFHiqks
755145861387030533	RT @ChannelNewsAsia: Fiat Chrysler faces probes on US car sales https://t.co/bWQrutYAg0
755143648254291968	RT @SimonMarksFSN: Astonishing scenes at #RNCinCLE   I'm live from the Convention arena @ChannelNewsAsia at 5 o'clock.
755143555576848384	Astonishing scenes at #RNCinCLE   I'm live from the Convention arena @ChannelNewsAsia at 5 o'clock.
755139023274807296	@ChannelNewsAsia A Lying&Corrupt candidate like Hillary can never be president.Do you think Hillary could be a politician in SG?No in Jail.
755137094331330560	RT @ChannelNewsAsia: No shaking off Taylor Swift-Kanye West 'Famous' feud https://t.co/6EDP70UWfL
755137092276060164	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ
755136864017801216	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ
755136656882163712	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ
755130505704669185	RT @ChannelNewsAsia: Football: Swansea sign Aussie goalkeeper Birighitti https://t.co/PSkWut4AS2
755130504970731520	RT @ChannelNewsAsia: Big funds push back against activist investor settlements https://t.co/WtQLmPxqqx
755130504127582208	RT @ChannelNewsAsia: Trump 'cannot become president': Clinton tells NAACP https://t.co/kO9fS9t9bu
755123883926097920	RT @ChannelNewsAsia: Exclusive: Monsanto in talks with Bayer over confidentiality pact - source https://t.co/KX7ewZ8J5p
755121648622243840	RT @ChannelNewsAsia: Exclusive: Monsanto in talks with Bayer over confidentiality pact - source https://t.co/KX7ewZ8J5p
755121647129137152	RT @ChannelNewsAsia: US Republican convention to nominate Trump begins https://t.co/iVpjJ6HI5O
755116446527660032	RT @SimonMarksFSN: Live from the arena at #RNCinCLE I'll have a full report on the action so far in Cleveland.  3:15 @ChannelNewsAsia
755115536426504192	RT @ChannelNewsAsia: South China Sea disputes could upset Southeast Asia's peace, prosperity: PM Lee https://t.co/CxOJYFxMZz https://t.co/0…
755113834113884160	RT @ChannelNewsAsia: AIDS summit opens with warnings that progress at risk https://t.co/7djPQtTjfX
755113345858936832	Live from the arena at #RNCinCLE I'll have a full report on the action so far in Cleveland.  3:15 @ChannelNewsAsia
755113303307907072	RT @ChannelNewsAsia: Murdochs decide to oust Fox News chief Ailes: New York magazine https://t.co/R0lC7t7BBy
755113253337006080	RT @ChannelNewsAsia: AIDS summit opens with warnings that progress at risk https://t.co/7djPQtTjfX
755111878943092737	RT @ChannelNewsAsia: Indian student raped in 2013 attacked again by same men on bail awaiting trial https://t.co/hj3kQMkKbe https://t.co/kk…
755108398123757568	RT @ChannelNewsAsia: Olympics: Germany back total ban on Russian competitors https://t.co/8srFagnSh4
755107532604080132	Singapore and Sri Lanka launch Free Trade Agreement talks https://t.co/wReMZSBGBx via @ChannelNewsAsia
755106941462978560	RT @ChannelNewsAsia: Many fitness trackers leak personal data: Study https://t.co/pJRjdEQOnD
755106269636288512	RT @ChannelNewsAsia: Irish PM warns punitive Brexit terms could inflame anti-EU sentiment https://t.co/SbQvpukJi7
755106244420141057	@NHKWorldNews_EN @ChannelNewsAsia @dw_global @XHNews  India: 3years on,Dalit girl raped again by same five accused https://t.co/CR5gL0yBq0?
755105359509856257	RT @ChannelNewsAsia: Irish PM warns punitive Brexit terms could inflame anti-EU sentiment https://t.co/SbQvpukJi7
755102574710251520	RT @Isaiahuba: @ChannelNewsAsia #TyrantBuhari wit his murderous army can’t stop our quest for #Freedom #FreeNnamdiKanu #FreeBiafra https://…
755101488679006208	RT @ChannelNewsAsia: NATO, US, EU warn Turkey on coup crackdown https://t.co/kUvdwzR56C
755097490983047168	RT @ChannelNewsAsia: NATO, US, EU warn Turkey on coup crackdown https://t.co/kUvdwzR56C
755096910956990464	@ChannelNewsAsia well it was a coup, not a misdemeanor, what do you expect? Notes saying"please don't coup again?"
755096429580869632	RT @ChannelNewsAsia: NATO, US, EU warn Turkey on coup crackdown https://t.co/kUvdwzR56C
755096050218573824	High-Speed Rail to significantly boost Malaysia’s e... https://t.co/K55rjteJoW via @ChannelNewsAsia https://t.co/0xmyQfoEd2
755093131939287040	RT @ChannelNewsAsia: Indonesia to confirm death of most-wanted terrorist Santoso https://t.co/FxHQZ69fMr https://t.co/AeoKNrfhC9
755092473958035456	Tesla acquisition target SolarCity raises US$345 million to fund projects https://t.co/RZIlSpH7vl via @ChannelNewsAsia
755092320723140608	RT @ChannelNewsAsia: Indonesia's most-wanted terrorist possibly killed in battle with security forces https://t.co/FpSVX7VDrk
755091034334371840	RT @ChannelNewsAsia: Indonesia's most-wanted terrorist possibly killed in battle with security forces https://t.co/FpSVX7VDrk
755090973240152064	RT @ChannelNewsAsia: Move to create separate regulatory company "important step" to bolster safeguards: @MAS_sg https://t.co/grQQiMKipL htt…
755089743537377280	@AdamFlinter @ChannelNewsAsia it's saving the Singapore economy from going into recession!
755089610519158784	RT @ChannelNewsAsia: Indonesia's most-wanted terrorist possibly killed in battle with security forces https://t.co/FpSVX7VDrk
