POST_ID	POST_TEXT
10153659713007115_10153659713602115	Sure?
129011692114_10153659713007115	Don\'t worry, dumplings are cooked in a large volume of water, hence the concentration of any harmful chemicals would be extremely low, says AVA.
10153659682227115_10153659715537115	He is kind person and always smile. Remembered I was watch him former president of National Day. He is a beautiful walk on the stadium
10153659682227115_10153659712902115	Life is unpredictable! Simple.
10153659682227115_10153659700592115	Things can be different within 10 days.
10153659682227115_10153659713662115	Get well soon, Mr S R Nathan🙂
10153659682227115_10153659726277115	Get well soon .
129011692114_10153659682227115	"He was standing at the door, greeting us without any support, not even a walker," says Claire Chiang of Banyan Tree Holdings, who had met S R Nathan just 10 days ago at his home.
10153659613102115_10153659679197115	Andrew Goh
129011692114_10153659613102115	Hong Kong streets have been largely deserted and shops shuttered since Monday evening.
10153659604952115_10153659649242115	I realize the weatherman is mostly wrong than right, they said the early weeks of July will be hot and then it started raining.
10153659604952115_10153659640592115	Not really, every day raining in the East.
10153659604952115_10153659663842115	Andrew Goh
129011692114_10153659604952115	The first two weeks of this month will be drier and warmer than the second half of July, with daily maximum temperatures expected to be between 33 and 35 deg C.
10153659589102115_10153659628912115	"Tang, a Chinese national who is a Singapore permanent resident" Singaporeans do indeed commit more crimes. :(
10153659589102115_10153659659312115	SG government should revoked her PR status, Don\'t waste tax payer\'s money to feed her.
10153659589102115_10153659629387115	Welcome to Singapore ..... cause we (MIW) open arm for them .
10153659589102115_10153659619392115	One person $30,000. You need 33 people to have $1m loss wor....
10153659589102115_10153659624972115	scam casino, scam commoners via phone, scam old folks, scam, scam, scam
10153659589102115_10153659616472115	Illegal scam over legal scam.
10153659589102115_10153659630262115	Put her behind Bars for Good.
129011692114_10153659589102115	Rinse and repeat: Exchange counterfeit $1,000 casino chips for genuine ones, mix the real chips with additional fake ones and exchange the whole lot for cash at Marina Bay Sands.
10153659564372115_10153659641907115	No wonder our founding father LKY is still sharp into his 90 because of his strict exercise regime.
10153659564372115_10153659613177115	So... Pokemon Go?
10153659564372115_10153659650357115	Yeah release Pokemon Go
10153659564372115_10153659706097115	I\'m sure Lions XII players are geniuses.
129011692114_10153659564372115	Exercise can increase brain volume and retard brain shrinkage, says sports physician Teoh Chin Sim.
10153659540632115_10153659681392115	Singapore was never a sports nation. The regime just want great results to make their face look shiny.
10153659540632115_10153659627617115	no loss, even if it is available to us, we would have to pay for it,
10153659540632115_10153659651917115	Go cross the bridge and watch lah
10153659540632115_10153659680482115	Nothing a good VPN can\'t fix
10153659540632115_10153659713697115	First world nation, third world transmission.
10153659540632115_10153659641002115	Have you guys heard of sopcast?
129011692114_10153659540632115	The report that says Singapore netizens will be able to catch the Rio de Janerio Games live on YouTube is untrue, sources say.
10153659512537115_10153659527142115	So if LRT train don\'t stop and keep moving, the best thing passengers can do is to go down on their knees and pray nothing happens?  What if it something did happen and crash against another LRT train in its track? Ironically, the emergency button can only be used when the train crash or comes to a complete halt...
10153659512537115_10153659629082115	SMRT said the train\'s emergency halt request button can be activated only when a train comes to a complete stop at a station and prevents it from moving off again.  The issue is... The train is not stopping at all. Great safety features you had there!!!
