ID	Post-Text
1	@HDFC_Bank who is vishweshwar?Why is he in my app?How do I trust an app which doesn't have basic QA? @BuzzFeedIndia https://t.co/Z4b3dBWPXm
2	> @HDFCBank_Cares #ChutiyaQuestion on Relation of @BabubhaiVaghela with HDFC Bank https://t.co/Vs4kqM5tj5 @HDFC_Bank #DeepakParekh @RBIGov
3	Very good initiative. @ICICIBank @HDFC_Bank @AxisBank. Private banks keen to play venture capitalists to startups https://t.co/zIKFrQhrlf
4	@HDFC_Bank, Good https://t.co/HhWF8FXiAG
5	@HDFC_Bank, Good https://t.co/cRCg5nlPe7
6	@HDFC_Bank, Good https://t.co/3jrc7IVYke
7	@HDFC_Bank, Good https://t.co/WuYj3yhZe0
8	@HDFC_Bank, Good
9	@HDFC_Bank, Good https://t.co/gLkdDjEbge
10	RT @HDFC_Bank: Avail CashBacks and discounts @Makemytrip with our Net Banking, Debit & Credit Cards. https://t.co/lxz3JwOk5c https://t.co/y…
11	RT @HDFC_Bank: Pave the way to a greener & brighter tomorrow with your #SmallGreenStep. https://t.co/axY7ddpPZs https://t.co/vPXx5a0LlT
12	PayZapp is HDFC Bank's counter to Apple, Android https://t.co/EjyUBabgva @payzapp @HDFC_Bank
13	RT @ETtech: PayZapp is HDFC Bank's counter to Apple, Android https://t.co/EjyUBabgva @payzapp @HDFC_Bank
14	RT @ETtech: PayZapp is HDFC Bank's counter to Apple, Android https://t.co/EjyUBabgva @payzapp @HDFC_Bank
15	@HDFC_Bank the most tedious process ever to get a simple cheque book. Called 3ce, tried sms, downloaded the app, zilch worked. #irritation
16	Top Green Companies in the #World. @TCS_News @Infosys @HDFC_Bank @ICICIBank @BWorldOnline @TheOfficialSBI @ONGC_ https://t.co/3xrbjltO4l
17	RT @vivektripathi70: @Recarnicated @ICICIBank @ICICIBank_Care @HDFC_Bank that's planned Humiliation of customers.
18	@HDFC_Bank No. When you promote the production of #Biodiesel with the banks money - then the planet breaths free #SmallGreenStep
19	RT @SidhwaniKishore: Premium Customer with @HDFC_Bank for 20 yrs But response to complaints is pathetic Get better service from @TheOfficia…
20	RT @SidhwaniKishore: @HDFC_Bank cheque issued 2 A deposited by B is credited to account B by HDFCBank Expect customer to chase clearing ban…
21	RT @ETtech: PayZapp is HDFC Bank's counter to Apple, Android https://t.co/EjyUBabgva @payzapp @HDFC_Bank
22	RT @ETtech: PayZapp is HDFC Bank's counter to Apple, Android https://t.co/EjyUBabgva @payzapp @HDFC_Bank
23	RT @HDFC_Bank: Pave the way to a greener & brighter tomorrow with your #SmallGreenStep. https://t.co/axY7ddpPZs https://t.co/vPXx5a0LlT
24	@HDFC_Bank, Good https://t.co/gZcEe5fOU8
25	RT @HDFCBankNews: #LoanMela to give people hassle free experience of getting loans ~ @Qazizubair, Sr VP, @HDFC_Bank: https://t.co/cwjNcmDwB…
26	The situation will need to be over-managed so that there are no disruptions ~ Ashish Parthasarthy, Treasurer, @HDFC_Bank on @CNBCTV18Live
27	What's the point in 4-5 verification calls by @HDFC_Bank credit cards for same information? #inefficient_process #harassed @HDFCBank_Cares
28	Mumbai Inter-Bank Offer Rate (#MIBOR) very dynamic ~ Ashish Parthasarthy, Treasurer, @HDFC_Bank @CNBCTV18Live #RBI https://t.co/TToepR8I08
