POST_ID	POST_TEXT
8f7e7b10caa63762e2556bb19cc37941	CapitaLand Commercial Trust sees 0.5% rise in Q2 DPU SINGAPORE - CapitaLand Commercial Trust (CCT) reported on Wednesday (July 20) a 0.5 per cent rise in distribution per unit (DPU) to 2.20 Singapore cents for the quarter ended June 30, from 2.19 cents for the year-ago period.Distribution to unitholders rose 1 per cent to S$65.09 million from a year ago despite a 4.5 per cent fall in net property income to S$51.45 million.The bottomline instead was boosted by higher income distributions from CCT's 40 and 60 per cent interest respectively in CapitaGreen and Raffles City Singapore.For the first half-year, DPU was 4.39 cents, 1.9 per cent higher than the 4.31 cents a year ago on a 2.2 per cent rise in distributable income to S$129.93 million.Said Ms Lynette Leong, chief executive officer of CCT's manager: "Despite the muted macro-economic environment and challenging office market conditions in Singapore, CCT's portfolio occupancy rate of 97.2 per cent remains higher than market occupancy rate of 95.1 per cent in 2Q 2016."In 1H 2016, we have successfully renewed or signed new leases with high quality tenants, which included that of the Economic Development Board of Singapore, one of CCT's top 10 tenants. This leaves only 4 per cent of office leases to be renewed this year and 10 per cent of office leases due in 2017, as we proactively retain tenants and attract new ones."Ms Leong also noted that CCT's net property income from the the fourth quarter onwards will be boosted by the 100-per-cent income contribution from CapitaGreen upon the completion of its acquisition of a 100-per-cent interest in the development from its joint venture partners."This will help to mitigate any downside risk to portfolio performance due to the current weak office market," she said. 
c2fe2d6f481db9dafff18ca23312620a	Asia sags after Wall Street loses steam, US dollar clings to gains TOKYO (REUTERS) - Asian stocks stepped back early on Wednesday (July 20) after a record run on Wall Street showed signs of petering out, while the dollar hovered near a four-month high against a basket of currencies.MSCI's broadest index of Asia-Pacific shares outside Japan fell 0.2 per cent, putting some distance between a nine-month high struck late last week.South Korea's Kospi lost 0.3 per cent and Australian shares were flat. Japan's Nikkei fell 0.5 per cent, on track to snap a six-day winning streak.The S&P 500 pulled back from record highs on Tuesday, while the Dow industrials edged up for an eighth straight day of gains, as investors pondered mixed earnings reports.The dollar index, a gauge of the greenback's strength against a basket of key currencies, stood at 97.046, not far from the nine-month peak of 97.148 scaled overnight.The dollar traded at 106.16 yen after touching a one-month high of 106.53 overnight. The euro was steady at US$1.1012 after slipping to a three-week trough of US$1.1000.The Australian dollar stood nearly flat at US$0.7503 after falling 1.1 per cent on Tuesday, when it was dragged down by a New Zealand dollar weakened by growing speculation that the country's central bank it will cut rates in August."The US dollar is proving to be a big winner in a period when central banks around the world are talking about easing," wrote Kathy Lien, managing director of FX strategy for BK Asset Management."That leaves the Federal Reserve and the Bank of Canada as the lone soldiers standing ground on steady policy. We haven't seen significant strength in the Canadian dollar, partly because oil prices have been falling but the US dollar is seeing nice momentum."US crude was little changed at US$44.67 a barrel after falling more than 1 per cent for a second day in a row on Tuesday, as a rallying dollar and a global fuel glut offset forecasts for lower US crude stockpiles that typically would have been bullish for the market.Elsewhere in commodities, nickel stood near 10-month highs amid persistent concerns over a Philippines mining crackdown and zinc was also on a bullish footing after hitting a 14-month peak on concerns over falling mine output. 
fa6fa5d87499c90be2abca1d2594a5f8	20 residents evacuated, 1 injured after fire breaks out at Sengkang flat SINGAPORE - Twenty residents were evacuated as a precautionary measure after a fire broke out at a flat in Sengkang early Wednesday (July 20) morning.The Singapore Civil Defence Force (SCDF) said that it was alerted to the fire at 4.15am.Two fire engines, a Red Rhino, two ambulances and three support vehicles were dispatched to put out the fire which was located on the third floor of Block 257B Compassvale Road.SCDF officers had to force their way into the flat and the fire was extinguished by two water jets in 30 minutes.A man who is not an occupant of the flat was taken to Singapore General Hospital for breathing difficulties.SCDF is still investigating the cause of the fire. 
ad975779dfbbb708a12534dfb67b73e5	Singapore shares open 0.51% higher on Wednesday SINGAPORE - Singapore shares opened higher on Wednesday (July 20), with the benchmark Straits Times Index at 2,934.34 in early trade, up 0.51 per cent, or 14.8 points.Around 72 million shares exchanged hands.Gainers beat losers 67 to 43. 
6011bda14318ecbbefd044ef1d84b31f	Raffles Medical plans to spend $1b to expand in Asia SINGAPORE (BLOOMBERG) - Singapore's biggest healthcare provider Raffles Medical Group will spend S$1 billion over the next three years to set up hospitals and clinics in Asia, group chairman and co-founder Loo Choon Yong said.About S$600 million will be used to spur growth outside its Singapore base, particularly in China, where an ageing population and government reforms are expected to boost demand for medical care."Asia is growing," Mr Loo said in an interview on Monday (July 18). "Maybe we are talking slower growth but it is a plus compared to Europe and US. There is great demand in China and margins would not be inferior."Raffles Medical's projected investment until 2019 compares with spending of S$158.4 million last year and S$209.2 million in 2014, according to its annual report.It also owns hospitals, clinics and laboratories in Japan, Vietnam and Cambodia.Mr Loo said the group is planning new hospitals in Beijing and Shenzhen, while its Shanghai hospital is expected to be operational by end-2018.Expenditure on healthcare is expected to increase in China, driven by greater insurance coverage among a fast-ageing population, as well as a growing list of drugs that qualify for state reimbursement, according to industry data provider IMS Health.The number of Chinese older than 65 is expected to reach 156 million, or 11.3 per cent of the population by 2018, according to data compiled by IMS Health.Companies on the MSCI China Health Care Index saw a year-on-year pre-tax margin of 6.2 per cent in 2016 so far, compared to 6.1 per cent last year and 7.1 per cent in 2014, Bloomberg data shows. Raffles reported EBITDA margin of 22.4 per cent and 23.2 per cent for the fiscal years 2015 and 2014 respectively.Mr Loo said Raffles Medical's expansion will be funded mostly through cash from existing operations and may include debt. The company had cash equivalents of S$86 million at the end of 2015 and no debt, according to data compiled by Bloomberg.Mr Loo, who controls 48 per cent of the company, is open to acquisitions but says he expects sales to grow organically at about 11 per cent next few years.Raffles Medical will report its second-quarter earnings on July 25. 
76a7e5b1dbab89f376ae74efc0694ec3	Football: Giampiero Ventura, 68, succeeds Conte as new Italy coach MILAN (AFP) - Giampiero Ventura was officially unveiled as Italy's new manager on a two-year contract designed to make sure the Azzurri qualify for the 2018 World Cup in Russia.Ventura replaces Antonio Conte, who led Italy to the quarter-finals of Euro 2016 before taking over at English Premier League giants Chelsea.A respected tactician, the 68-year-old Ventura has coached a number of clubs in Italy's top flight and comes to the post following a five-year spell with Torino.His first game in charge of Italy will be a friendly against beaten Euro 2016 finalists France in Bari on Sept 1. 
b8a2d2ea5695e7f79e27017f6cdaf508	askST: How do I prolong the lifespan of my gadget's battery? We have all experienced batteries in devices like laptops and smartphones slowly losing their capacity over time. This is because batteries have a certain number of charge cycles, usually between 500 to 1,000, before they start degrading significantly. When this happens, devices have to be charged more often than before.Readers have asked us how they can prolong the lifespan of their gadget's battery.Digital writer Vincent Chang offers some tips on keeping your battery in tip-top condition.Older devices use nickel-based batteries that lose their capacity if they are not fully discharged before charging. But the opposite is true for the lithium-based batteries used in modern gadgets. Fully discharging a lithium battery is bad for the battery.Instead, you should charge devices soon after letting their battery run down. According to the website Battery University, it is best to charge the battery after it drains to about 50 per cent.But you may want to fully discharge the battery occasionally (once a month) to keep it calibrated, which lets the gadget estimate the remaining amount of battery life accurately.Lithium batteries will degrade in capacity when it is kept at a high charge voltage. Therefore, it is advisable to remove your gadget from the charger when it is fully charged.For laptops that generate a lot of heat, it is recommended to remove the battery if you plan to keep it plugged into the power socket. This is because high temperatures will reduce the battery's lifespan.Batteries do not fare well in warm environments and will suffer from capacity loss. It is best to keep your gadgets at room temperature and avoid leaving them in a car out in the sun.If you intend to store your battery or gadget for more than six months, you should ensure that it has at least 50 per cent charge. Storing it at full charge will shorten the battery lifespan while storing it at zero charge may lead to the battery becoming unusable.More askST stories here. 
f1706927047911a956012e0cd77cd1fb	Increased number of suspected leptospirosis cases in dogs; Sunny Heights Day Care Centre issued isolation order: AVA, MOH, NEA SINGAPORE - The Agri-Food & Veterinary Authority (AVA) has seen an increase in the number of suspected leptospirosis cases in dogs being reported by veterinarians since late last year.In a joint press release with the Ministry of Health (MOH) and the National Environment Agency (NEA), AVA said this upward trend was observed after no animal cases were reported in 2014, followed by two notifications received by AVA between September and December 2015, and 18 notifications to date in 2016.Between June 27 and July 14, AVA has received 12 notifications associated with Sunny Heights Day Care Centre.AVA has since issued an isolation order on the day care centre prohibiting any dog from entering or leaving the premises without AVA's authorisation.In addition, the day care centre is required to conduct a thorough cleaning and disinfection of the premises.NEA conducted an inspection on July 12 at Sunny Heights Dog Daycare Centre and its vicinity, including a licensed pet café, and did not detect any signs of rat activity.In human cases, MOH received about 20 to 30 reports of leptospirosis each year between 2012 and 2015. This year, 14 cases have so far been reported to MOH as of July 13. This included one human case whose family dog had previously attended Sunny Heights Day Care Centre.Investigations are currently on-going.Leptospirosis is a bacterial disease that can affect both animals and humans. It can be transmitted to humans and animals through cuts and abrasions of the skin, or through mucous membranes with water contaminated with the urine of infected animals.To help protect against leptospirosis infection, AVA advises dog owners to keep their dogs up to date with their vaccinationsTo help protect against leptospirosis infection, AVA advises dog owners to keep their dogs up to date with their vaccinations. Although the vaccine does not provide 100% protection, it can reduce the chance of the dog being infected, and help prevent the shedding of bacteria in the dog’s urine. Dog owners are also advised to reduce their dogs’ exposure to water or soil that may be contaminated, such as areas that are home to small mammals such as bats, rats and other rodents, which are all potential carriers of Leptospira.    Owners with pets that have been diagnosed with leptospirosis should avoid handling or contact with urine, blood, or tissues. If necessary, protective coverings such as gloves should be worn. Owners should also wash their hands with soap after handling the pet or anything that might have the pet's excrement on it. Surfaces that may be contaminated or contain urine from an infected pet should be cleaned using antibacterial cleaning solutions or household bleach.      The public are advised to seek medical attention should they develop symptoms. They should also practice good personal hygiene at all times, especially after the handling of animals, or if they are in contact with soil or water that may be contaminated by animal urine. Leptospirosis is a bacterial disease that can affect both animals and humans. It can be transmitted to humans and animals through cuts and abrasions of the skin, or through mucous membranes with water contaminated with the urine of infected animals.  While many wild and domestic animals can be infected and act as a source of infection, rodents are considered the primary source of infection to human beings.Clinical signs of leptospirosis in dogs include fever, vomiting, diarrhoea, jaundice and failure to produce urine. Infected dogs may be treated with antibiotics but may succumb to the infection due to acute renal failure. Dogs showing these clinical signs and are known to have been exposed to infected animals should seek veterinary treatment immediately.     Clinical signs of leptospirosis in humans include fever, headache, decreased appetite, chills, muscle aches, vomiting, jaundice, red eyes, abdominal pain, diarrhoea and rash. Without treatment, leptospirosis may be fatal.  
f3df011459b7d9d12f26f534bec5a60e	PM Lee launches $4.5 million Building and Construction Authority research centre SINGAPORE - A revolving laboratory perched on a roof eight stories high will bring Singapore closer to constructing buildings that not only consume zero energy, but also produce energy.The 132 sq m research centre - the size of two three-room flats - launched on Wednesday (July 20) is the brainchild of the Building and Construction Authority (BCA).The centre will be used to test-bed technologies to bring more "positive energy" buildings into reality.Such buildings will be able to produce more energy than they consume by, for instance, harnessing solar energy, while reducing energy consumption by using more efficient air-conditioning or lighting systems.The medium-term aspiration is to develop such "positive energy" low-rise and medium-rise buildings which are energy self-sufficient, and energy-efficient high-rise buildings, said Dr John Keung, chief executive of the BCA.Launching the BCA SkyLab, Prime Minister Lee Hsien Loong said that, as the Republic's economy developed, its building activities grew in scale and complexity, and that attention is now placed on environmental sustainability."The BCA SkyLab that we are opening today will play an important role in our environmental sustainability drive," he said.The $4.5 million rotatable laboratory, which takes 30 minutes to complete one round, will allow researchers to test new systems with actual weather and climatic conditions, as opposed to simulating them using historical data which might not be accurate due to climate change.The centre was developed in collaboration with the Lawrence Berkeley National Laboratory in California, which has a similar rotating lab suited for a temperate climate."The good thing about a rotatable lab is that you can tune it by a few degrees and see if it makes a difference," said Dr Keung.Say, a research team has tested a technology when the laboratory faces east, rotating it by 20 degrees will mean it is now in the North-east, and the team can tell if the effectiveness of their system is affected, he explained."It gives you the flexibility to answer many 'what ifs'."The laboratory comprises of a test cell - where the new technology being developed will be installed - and a reference cell that will mimic a conventional room without add-ons. Changes in indoor temperature, humidity, carbon dioxide levels and other conditions will be tracked by over 200 sensors.Mr Lee said there is also a need to upgrade the Republic's building software - how we build - in terms of productivity, safety and quality.He pointed out that construction methods are still labour-intensive and time-consuming.While non-fatal major workplace injuries in the construction sector fell from 202 in 2014 to 157 last year, Mr Lee said the industry remains a major contributor to workplace fatalities and major injuries.He said: "To improve productivity and safety, we have to focus on developing our people".He noted that the BCA has been updating its curriculum, for instance, through the introduction of new diploma programme in advanced construction techniques.The Academic Tower at the BCA Academy, on which the BCA SkyLab sits, will also serve as a living laboratory for students to experience first-hand how a building "interacts" with its occupants.Students can, for example, view exposed piping and ducting to learn how mechanical and electrical systems work.The Academic Tower was also officially opened on Wednesday.Mr Lee said buildings are more than mere bricks and mortar, and reflect the ethos of society, one that is forward-looking and after a environmentally sustainable and safe environment to live in."Then we can have good buildings - well built, efficiently built, and safely built, meeting human needs, showing off a modern city to be an element of the endearing home that all of us share," he said. 
408bfa261a5dafe6b1bf4cf3b67cba7d	Job security now more important than pay for Singaporeans, survey finds SINGAPORE - For the first time, job security outranks pay for Singaporeans when choosing employers in a annual survey by CareerBuilder Singapore released on Wednesday (July 20).It also topped all other considerations in the recruitment firm's Employer of Choice 2016 Survey wuch as career growth and opportunities and work culture and physical environment."This is unsurprising against the backdrop of our slow economic growth this year," said CareerBuilder Singapore.A total of 1,837 respondents took part in the 2016 survey, which began in 2006.The 2016 survey also found that more Singaporeans are looking to pursue a career in start-ups, mainly because of the learning opportunities offered.Online shopping site Carousell was the top start-up employer of choice, followed by online grocer Redmart and online finanical portal MoneySmart in that order."Start-ups are definitely gaining traction and recognition both locally and globally," said Ms Jessica Ang, marketing director of CareerBuilder Singapore. "As more people seek to learn new skillsets and pursue their careers with start-ups, it is equally important for start-ups to implement effective human resource measures. This not only allows them to retain current human capital, but also reach out to a wider pool of potential talents."Google, Singapore Airlines and Changi Airport Group retained their top positions as employers of choice in the private sector for the second straight year.The hospitality and tourism industry also gained traction among jobseekers, the survey found. For the first time, Marina Bay Sands and Airbnb joined the ranks of the Top 10 employer of choice in the private sector. Singapore Tourism Board topped in the public sector, while WTS Travel and Tours was first place in the small and medium-sized enterprise category. 
