post_id	post_text
1000183776738447_1000744746682350	confuse and confuse...
1000183776738447_1000746726682152	On your left DUMB and on your right DUMBER!
1000183776738447_1000754023348089	well what government is doing is "fighting fire with gasoline" , the problem started with government signing trade agreement such as CECA for opportunists of investment for GLCs etc, the ending result was a flood of FT flooding here depressing S$ wages etc , the question to ask is how much did GLC made in those investment versus now government throwing/spending to get locals hired ? and are those conditions which government signed changed ????
1000183776738447_1000761956680629	they know they can\'t really fool us now so they are trying to confuse us into their gameplan and sadly 70% naive fools still believe them..
1000183776738447_1000769476679877	"Employment Pass criteria will be tightened to favour foreigners as well." Huh?!?
1000183776738447_1000786713344820	Yeah....riiigghhttt...!!
1000183776738447_1000801516676673	If the government cannot give true Singapore hope to protect them. Please do not give them false hope.
1000183776738447_1000802410009917	I said many times and I repeat,"Singapore can be liken as the \'changed blood\' generation. Like it or not, many things can be prevented from the start. For now, a clean change seems quite impossible.
1000183776738447_1000806720009486	One always talk nonsense and  sia sway . The other thinks he is a Thinker n show facts n theories . No wonder this present lhl teams are A Big Failures !
1000183776738447_1000818570008301	Poke Arse Party policy.  Confuse the 70% always. But 30% can see the con.
1000183776738447_1000825950007563	singapore core??  last i saw,majority voted for pap,the political party that has been butt-fucking sgreans for the past 50 yrs.  if there is any sgrean core,its one where they countinue to support the very system that fucks them over and over again.  lss is right,permits should be revised with the sgrean core,one that fucks the lazy self entitled locals/sgreans and support the jobs creating deserving foreign talents.
1000183776738447_1000858010004357	Looks like there are bigger cocks than me in Singapore...
1000183776738447_1000930253330466	So sad...Wat a bunch of useless MPs.  Each time just TCSS n then collect salary end of the month.
1000183776738447_1000967409993417	.
1000183776738447_1000972493326242	How do you know if they converted EP to PR?
1000183776738447_1001024366654388	zorro lim only say half. kee chiu chan continue the other half.
1000223530067805_1000393160050842	One thing the paper shows is that tax haven like Singapore saves the rich elite from hassle of transferring money out to avoid taxes.
1000223530067805_1000959929994165	The globe fall out so far: http://www.arcgis.com/apps/MapJournal/index.html?appid=1f611be658e74ad48f899d1d6152bdb4
1000223530067805_1001054843318007	Last time the teachers and educators were so enthusiastic to praise about sinkapore as a "wonderful tax haven" time and again like a broken tape recorder especially during social studies and history lesson. Irony.
1000880786668746_1000884846668340	I believe Dr Lee Wei Ling has way much more integrity.
