post_id,parent_id,source_id,post_type_id,post_datetime,date_key,hour_key,post_text,headline,breaking_news,comment_count,likes_count,share_count,retweet_count,author_id,author_name,post_url,is_analyzed,create_datetime,update_datetime
1000183776738447_1000744746682350,189434891146677_1000183776738447,14,2,"2016-04-11 06:21:03",0,0,"confuse and confuse...",NULL,NULL,0,1,0,0,10154157141286308,"Yeo Cheng Kwee Roland",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000746726682152,189434891146677_1000183776738447,14,2,"2016-04-11 06:27:03",0,0,"On your left DUMB and on your right DUMBER!",NULL,NULL,0,5,0,0,351650958512141,"How Lian Chan",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000754023348089,189434891146677_1000183776738447,14,2,"2016-04-11 06:45:05",0,0,"well what government is doing is ""fighting fire with gasoline"" , the problem started with government signing trade agreement such as CECA for opportunists of investment for GLCs etc, the ending result was a flood of FT flooding here depressing S$ wages etc , the question to ask is how much did GLC made in those investment versus now government throwing/spending to get locals hired ? and are those conditions which government signed changed ????",NULL,NULL,0,8,0,0,10157014706945494,"Mubasher Ahmed",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000761956680629,189434891146677_1000183776738447,14,2,"2016-04-11 07:06:02",0,0,"they know they can\'t really fool us now so they are trying to confuse us into their gameplan and sadly 70% naive fools still believe them..",NULL,NULL,0,15,0,0,10157121553065602,"Toby Cheong",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000769476679877,189434891146677_1000183776738447,14,2,"2016-04-11 07:27:04",0,0,"""Employment Pass criteria will be tightened to favour foreigners as well."" Huh?!?",NULL,NULL,0,3,0,0,10154216954464326,"Max Headroom",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000786713344820,189434891146677_1000183776738447,14,2,"2016-04-11 08:11:04",0,0,Yeah....riiigghhttt...!!,NULL,NULL,0,0,0,0,10153901735859635,"Khairul Azman",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000801516676673,189434891146677_1000183776738447,14,2,"2016-04-11 08:51:05",0,0,"If the government cannot give true Singapore hope to protect them. Please do not give them false hope.",NULL,NULL,0,8,0,0,1206891575989120,"Audrey Pritchard",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000802410009917,189434891146677_1000183776738447,14,2,"2016-04-11 08:54:04",0,0,"I said many times and I repeat,""Singapore can be liken as the \'changed blood\' generation. Like it or not, many things can be prevented from the start. For now, a clean change seems quite impossible.",NULL,NULL,0,5,0,0,1206891575989120,"Audrey Pritchard",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000806720009486,189434891146677_1000183776738447,14,2,"2016-04-11 09:04:05",0,0,"One always talk nonsense and  sia sway . The other thinks he is a Thinker n show facts n theories . No wonder this present lhl teams are A Big Failures !",NULL,NULL,0,4,0,0,239933233043601,"KJ Lim",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000818570008301,189434891146677_1000183776738447,14,2,"2016-04-11 09:41:03",0,0,"Poke Arse Party policy.  Confuse the 70% always. But 30% can see the con.",NULL,NULL,0,3,0,0,1109355019087921,"Mohamad Khalid Idros",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000825950007563,189434891146677_1000183776738447,14,2,"2016-04-11 10:07:00",0,0,"singapore core??

last i saw,majority voted for pap,the political party that has been butt-fucking sgreans for the past 50 yrs.

if there is any sgrean core,its one where they countinue to support the very system that fucks them over and over again.

lss is right,permits should be revised with the sgrean core,one that fucks the lazy self entitled locals/sgreans and support the jobs creating deserving foreign talents.",NULL,NULL,0,0,0,0,10153924861043096,"Jin Hahn",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000858010004357,189434891146677_1000183776738447,14,2,"2016-04-11 11:11:04",0,0,"Looks like there are bigger cocks than me in Singapore...",NULL,NULL,0,1,0,0,1088860924476189,"BBC Big Big Cock",NULL,1,NULL,"2016-06-15 06:41:05"
1000183776738447_1000930253330466,189434891146677_1000183776738447,14,2,"2016-04-11 13:42:03",0,0,"So sad...Wat a bunch of useless MPs. 
Each time just TCSS n then collect salary end of the month.",NULL,NULL,0,1,0,0,1319404484739778,"Nigel Fosley Lew",NULL,1,NULL,"2016-06-15 06:41:06"
1000183776738447_1000967409993417,189434891146677_1000183776738447,14,2,"2016-04-11 15:31:00",0,0,.,NULL,NULL,0,0,0,0,1178531228866175,"Peter Tan",NULL,1,NULL,"2016-06-15 06:41:06"
1000183776738447_1000972493326242,189434891146677_1000183776738447,14,2,"2016-04-11 15:50:05",0,0,"How do you know if they converted EP to PR?",NULL,NULL,0,1,0,0,10205981760933095,"Jerry Tan",NULL,1,NULL,"2016-06-15 06:41:06"
1000183776738447_1001024366654388,189434891146677_1000183776738447,14,2,"2016-04-11 17:49:02",0,0,"zorro lim only say half. kee chiu chan continue the other half.",NULL,NULL,0,0,0,0,1585935118371998,"Lee Jooliang",NULL,1,NULL,"2016-06-15 06:41:06"
1000223530067805_1000393160050842,189434891146677_1000223530067805,14,2,"2016-04-10 17:55:05",0,0,"One thing the paper shows is that tax haven like Singapore saves the rich elite from hassle of transferring money out to avoid taxes.",NULL,NULL,0,1,0,0,10207455851289099,"Cla NG",NULL,1,NULL,"2016-06-15 06:41:06"
