Trending Topic	Trending Topic Score
singapore	205.99596469972133
case	119.00085618741507
zika virus infection	110.9594443186465
zika	78.14068189876922
zika case	69.01416091875087
patient	65.79588538140206
haze	64.46064119202153
positive	47.004537357743686
nea	41.8400387050388
filipino star xian lim	40.82481246286962
tv partner kim chiu	40.82076641548794
indonesia	39.44594415317337
cres	33.86921399285532
channel newsasia	33.436674505052444
time	32.54990089808589
living	31.716249743328333
year	31.495837798136915
dengue	31.215387031071486
nea ht	31.00038963970454
crescent ht	30.025639170001018
people	27.75061075691482
sunday	26.93969434877376
clusters	26.0800694615184
dlvr	25.6877503656953
malaysia	25.259326134881253
government	24.9218584275382
football	24.71790127462473
symptoms	24.67173034264876
bacteria-carrying mosquitoes	23.299373307303917
news	23.264874645423735
season	23.224576681160492
women	22.869131269925912
rio olympics	22.740544618842335
dtn singapore	21.505124880854872
china	21.13298965768071
line	20.677635791391864
woman	20.03374647535963
saturday	19.886089847536184
years	19.4221696461104
air quality	19.403485234690546
man	18.856139397236525
chickens	18.687547022585928
issues	18.56247718881669
continue	18.436358779823358
togo	18.20259919574134
improve	17.772184939307746
marine parade town council	17.2425889033681
steeplechase world record	17.116299983620614
winds	16.982977783582523
moh	16.823007309306867
chelsea	16.789472962197344
area	16.47481527815605
body	16.414959715838446
day	16.33783475604346
part	16.298906256164212
team singapore athletes	16.251319002638983
dhaka cafe attack	16.07414670089743
cdc	16.023809881858607
hotspots	15.992775601398654
psi	15.699343753026183
singaporeans	15.685992365085381
crescent	15.654726721597257
cna	15.581165066693165
r nathan	15.40533958011752
car	15.101522122626964
holdings	15.089126108656496
african	15.087066242964497
zika virus	15.041259581788436
immigrants	15.036267209593436
police	14.560453982577307
trump	14.477338257600536
germany	14.432602647196587
aug	14.229603257691771
japan	14.22881646038829
sexual consent	14.175679404173449
arsenal	14.067883575561376
mosquitoes	14.015352196168843
fire	13.955383925659788
visa	13.873111454325903
iran	13.84170085669158
migration office head	13.762258985245708
refugees	13.760882759347183
challenges	13.689187328796168
children	13.460152441681322
aleppo	13.382510538731431
life	13.368907306109671
saturday  aug	13.226928874521944
awareness	13.135372724640012
conditions	13.106045789431137
health	13.096819008962857
place	13.083787214201468
townhall	13.025674098561929
athletes	12.922128730570302
deal	12.607064653336227
mastermind	12.606029405274816
police raid kenya olympic headquarters	12.555402951134047
nike uniforms	12.552891996097848
deputy	12.544842813092295
range	12.501213590177972
ties	12.478353191340274
