Trending Topic	Trending Topic Score
zika	403.05059462798897
cases	158.6561423408187
zika cases	99.94708234867844
zika virus	81.81787556622315
zika outbreak	81.00268429109725
moh	72.27226804058523
cluster	61.60825841236463
zika infection	58.61455069984604
virus	54.63135204386518
symptoms	49.666799118070905
crescent	48.14776907854035
areas	47.13422859213886
ministry	46.81779476402879
mosquitoes	43.49369921655307
zika virus infection	43.18006101511223
dengue	39.02014710007263
patients	35.86440372405922
bedok north ave cluster	35.50605515502387
sims	35.26123309586201
residents	34.15899269680027
zika update	34.10278537924193
nea	32.937005261048334
health  moh	31.29886365444344
workers	31.167293969622026
spread	30.772441570816707
sims drive area	30.704585462265467
zika mosquitoes	30.69346298446978
new cases	28.789132812899375
testing	28.196921021356065
doctors	28.158004468686578
spray	28.01150204986267
honeybees	27.23773503879465
authorities	25.640174974852258
millions	24.871219126458435
locally-transmitted cases	24.3542190818821
mosquito breeding	23.732438635144764
aljunied crescent	23.262878030158287
zika case	21.51628280189389
statement	20.944306228562766
zika infections	20.650061480183766
foreigners	20.09840796150456
transmission	19.772795048386868
measures	19.574063926331824
bedok	19.53472730858848
august	19.527716147166267
crescent cluster	19.33744550134877
precautions	19.172950217855558
rash	18.735175022985516
kallang way	17.751371013907104
premises	17.172731367473457
outbreak	17.152094324865885
government	17.12187556309179
sims drive	16.783078991363986
mail print view	16.529353788303006
minister	16.453600816952207
cdc	16.059790492196374
mosquito	15.935643065067996
zika symptoms	15.872271426801097
construction site	15.857866316347947
infected	15.794117251905625
steps	15.527480083630065
habitats	14.90574103794764
fogging	14.306495625275181
repellent	14.271936465593555
paya lebar way	14.221837856961107
nationals	14.211967873428062
infection	14.163557720722705
mild illness	13.974281120211355
vector control	13.895118501706412
aug	13.894478298453528
pregnancy	13.695302014867284
vector control operations	13.068724648863009
positive	12.927430285448775
health	12.662066780010965
outreach efforts	12.396663784650919
area	12.321328410601646
context	12.201951444986655
concern	12.120576602441213
vigilant	11.685303244287594
brazil	11.517002859314259
officers	11.466168560173108
national environment agency  nea	11.447259106865214
construction workers	11.340071925667155
transparency	11.293802038126667
microcephaly	11.282887953749995
singaporeans	11.158650087262753
zika cluster	11.14931384042495
vicinity	10.19036447385032
health ministry	10.045758105644436
condition	9.665521464752555
aedes mosquito population	9.626664600375785
citizens	9.396290742573374
virus zika infection	9.333163421962752
conjunctivitis	9.24760543888645
tan tock seng hospital	9.212742723377465
pregnant	9.17671714068341
homes	9.15322609313215
environment agency  nea	9.116578659049
reporting	8.770447915693397
experts	8.698421087453104
