Trending Topic	Trending Topic Score
singapore	114.026559357
zika	63.7300784975
zika outbreak	42.5556932636
people	41.4056556531
china	40.5531601356
asia	35.6325761757
man	35.261798124
channel newsasia	34.0601545769
zika cases	33.8951527691
dtn singapore	32.7397112103
samsung	30.4627060659
time	30.1331783391
repellent	28.623928027
friday	28.0788096819
cases	26.5258710587
economy	24.9106340577
suu kyi visit	24.876142857
news	24.7712514349
myanmar sanctions relief	23.7969427881
years	22.8739557622
turkey	22.1267091377
explosion	21.8406827691
home	21.31348679
customs	21.0957211853
jobs	19.9541897938
galaxynote	19.7091803381
clinton	19.4253925243
year	19.3198925524
week	19.1347042262
biafrans	18.8543667059
obama	18.7158157608
muscles	18.5465703406
dlvr	18.4659516817
recall	18.3343266519
case	17.9769821484
august	17.8363353526
chongqing	17.6501788526
malaysia	17.5464052761
blast rocks	17.4096649369
day	17.2394845538
india	16.8574307013
progress	16.7762639925
role model	16.6767093836
circle line	16.6634651187
breakfast cereal	16.5986523281
handling	16.3188730885
cna	16.2627182075
esplanade	16.2346346309
fbi	15.9051636808
jail	15.7141161339
philippine	15.245278772
number	15.1183113117
months	15.0891117891
philippines	15.0748123806
putin	15.0132790304
russia	14.8717119536
war	14.6059948187
child	14.1797704834
episode sub	13.9818154605
episode	13.980417279
cluster	13.9330391533
millions	13.8571784502
wall street	13.7743281418
part	13.7073979234
police	13.555297418
singapore vehicles	13.5509244413
channelnewsasia	13.5000659318
signalling issues	13.4863353375
weight	13.4700855353
ministry	13.3315860716
hougang	13.2406398231
vehicles	13.132718723
crystal meth	13.0900861783
football	12.9060461578
blast	12.8801147699
problems	12.7738541512
government	12.7341278836
statement	12.624865264
maid	12.5364176844
fall	12.5146016588
city	12.5014522487
stocks	12.4583218522
month	12.4455615136
business	12.2686558141
days	12.142150143
transparency	12.1243920473
treatment	12.0681100952
million	11.9766700995
south china sea	11.9382241354
options	11.7485944593
anichebe	11.7473680661
sunderland	11.7461933293
bees	11.6711382318
woman	11.6682622018
summer	11.6274894551
france	11.5654635202
piece	11.5541447627
signals	11.346621944
singapore firms eye growth opportunities	11.2217067261
baby	11.2071780091
